timestamp,total_system_cpu_percent,total_system_memory_percent,network_bytes_sent,network_bytes_recv,app_A_cpu_percent,app_A_memory_percent,app_B_cpu_percent,app_B_memory_percent
2025-11-14 00:56:51.673287,0.0,53.8,134966652,1718926426,0.0,0.0,0.0,6.870278732932601
2025-11-14 00:56:53.715951,7.5,53.8,134971820,1718933168,0.0,0.0,38.0,6.876024935547172
2025-11-14 00:56:55.726541,7.1,53.9,134972114,1718933432,0.0,0.0,35.9,6.940744019305258
2025-11-14 00:56:57.736721,7.1,53.9,134972931,1718933692,0.0,0.0,33.3,6.9571405112485625
2025-11-14 00:56:59.747616,9.2,54.0,134973785,1718934176,0.0,0.0,45.8,6.98270120563752
2025-11-14 00:57:01.758221,12.2,54.1,134980712,1718938930,0.0,0.0,41.4,7.014602537394279
2025-11-14 00:57:03.768560,22.6,54.2,135014599,1719636446,0.0,0.0,137.29999999999998,7.149588762607281
2025-11-14 00:57:05.779178,9.5,54.2,135016920,1719637200,0.0,0.0,38.9,7.10173676497214
2025-11-14 00:57:07.790122,10.7,54.1,135033281,1719642807,0.0,0.0,43.0,7.124077604447759
2025-11-14 00:57:09.802469,13.5,54.1,135043530,1719648401,0.0,0.0,48.900000000000006,7.046974463330682
2025-11-14 00:57:11.814752,8.1,54.2,135047121,1719649695,0.0,0.0,31.1,7.065055187074808
2025-11-14 00:57:13.825448,13.3,54.1,135051909,1719651219,0.0,0.0,43.400000000000006,7.0454140721034495
2025-11-14 00:57:15.838260,11.7,53.5,135055681,1719652364,0.0,0.0,75.8,6.5154507214827975
2025-11-14 00:57:17.848436,11.1,53.4,135076576,1719675751,0.0,0.0,35.699999999999996,6.480279998583264
2025-11-14 00:57:19.861729,13.0,53.4,135077783,1719676416,0.0,0.0,60.50000000000001,6.507004794363966
2025-11-14 00:57:21.873846,11.9,53.6,135090268,1720067339,0.0,0.0,104.0,6.677904785918038
2025-11-14 00:57:23.885453,10.1,53.6,135137424,1720076293,0.0,0.0,67.3,6.665273047411868
2025-11-14 00:57:25.895021,5.6,53.6,135142841,1720076679,0.0,0.0,30.3,6.647638149732666
2025-11-14 00:57:27.904187,13.6,53.6,135209116,1729349990,0.0,0.0,44.199999999999996,6.621433484361041
2025-11-14 00:57:29.914764,10.8,53.5,135210518,1729350699,0.0,0.0,40.599999999999994,6.572987051972669
2025-11-14 00:57:31.926633,15.7,53.5,135213895,1729351649,0.0,0.0,73.7,6.510472330424483
2025-11-14 00:57:33.938072,10.6,53.7,135245239,1729397120,0.0,0.0,33.4,6.498880852736469
2025-11-14 00:57:35.949126,8.5,53.7,135254902,1729404070,0.0,0.0,39.599999999999994,6.496205896346926
2025-11-14 00:57:37.961832,12.1,53.7,135268379,1729431183,0.0,0.0,48.4,6.492787896515845
2025-11-14 00:57:39.971597,11.2,53.8,135290945,1729718096,0.0,0.0,93.0,6.6186346873979085
2025-11-14 00:57:41.981631,9.6,53.8,135294352,1729783933,0.0,0.0,87.7,6.602832630207836
2025-11-14 00:57:43.994427,6.4,53.8,135299611,1729791231,0.0,0.0,41.199999999999996,6.6545732218537
2025-11-14 00:57:46.007106,7.2,53.9,135405659,1750583147,0.0,0.0,51.5,6.546113647503659
2025-11-14 00:57:48.019466,5.7,53.8,135421352,1750601401,0.0,0.0,28.7,6.595550804480751
2025-11-14 00:57:50.031913,7.2,53.7,135423493,1750603198,0.0,0.0,39.60000000000001,6.548417082172432
2025-11-14 00:57:52.044859,14.1,53.6,135424935,1750603755,0.0,0.0,55.1,6.590621949651871
2025-11-14 00:57:54.055390,6.9,53.5,135427653,1750605042,0.0,0.0,34.1,6.529147488921842
2025-11-14 00:57:56.067737,6.3,53.5,135428674,1750605659,0.0,0.0,31.2,6.577940674916265
2025-11-14 00:57:58.078170,10.3,53.5,135431330,1750613396,0.0,0.0,49.7,6.526794518023633
2025-11-14 00:58:00.091274,8.7,53.5,135436097,1750621195,0.0,0.0,38.8,6.57960013860237
2025-11-14 00:58:02.101986,13.1,53.8,135443690,1750865465,0.0,0.0,110.10000000000001,6.65249270021739
2025-11-14 00:58:04.112195,10.6,53.7,135456384,1750904279,0.0,0.0,79.89999999999999,6.716691653566399
2025-11-14 00:58:06.125852,6.2,53.6,135461848,1750911386,0.0,0.0,31.900000000000002,6.657570163734575
2025-11-14 00:58:08.138578,7.9,53.9,135837210,1786370458,0.0,0.0,55.900000000000006,6.661136772253966
2025-11-14 00:58:10.151155,6.9,53.8,135841064,1786371828,0.0,0.0,34.9,6.600231978162449
2025-11-14 00:58:12.161739,9.6,53.8,135844609,1786372635,0.0,0.0,40.6,6.650560787269387
2025-11-14 00:58:14.172553,10.4,53.8,135846405,1786373556,0.0,0.0,52.0,6.595476500136597
2025-11-14 00:58:16.182529,8.8,53.8,135847700,1786373946,0.0,0.0,41.900000000000006,6.643105584739275
